Frame	Umbrella	Group	Atom_Pair	Distance (nm)
4940.00	umbrella9	O21	CL-O21(5862)	0.321
5090.00	umbrella9	O21	CL-O21(5862)	0.297
5550.00	umbrella9	O21	CL-O21(5862)	0.324
6640.00	umbrella9	O21	CL-O21(5862)	0.293
6710.00	umbrella9	O21	CL-O21(5862)	0.312
1670.00	umbrella15	O21	CL-O21(5172)	0.303
1760.00	umbrella15	O21	CL-O21(5172)	0.311
3480.00	umbrella15	O21	CL-O21(5172)	0.321
240.00	umbrella20	O21	CL-O21(5586)	0.314
310.00	umbrella20	O21	CL-O21(5586)	0.327
4880.00	umbrella20	O21	CL-O21(5586)	0.300
400.00	umbrella22	O21	CL-O21(5172)	0.322
2370.00	umbrella22	O21	CL-O21(5172)	0.318
2530.00	umbrella22	O21	CL-O21(5172)	0.307
3160.00	umbrella22	O21	CL-O21(5172)	0.324
8850.00	umbrella22	O21	CL-O21(5172)	0.325
14560.00	umbrella22	O21	CL-O21(5172)	0.324
15440.00	umbrella22	O21	CL-O21(5172)	0.326
15720.00	umbrella22	O21	CL-O21(5172)	0.321
16640.00	umbrella22	O21	CL-O21(5172)	0.321
23190.00	umbrella22	O21	CL-O21(5172)	0.325
23330.00	umbrella22	O21	CL-O21(5172)	0.325
23420.00	umbrella22	O21	CL-O21(5172)	0.315
24780.00	umbrella23	O21	CL-O21(5034)	0.319
17450.00	umbrella24	O21	CL-O21(5034)	0.318
19870.00	umbrella24	O21	CL-O21(5034)	0.302
20300.00	umbrella24	O21	CL-O21(5724)	0.296
4780.00	umbrella26	O21	CL-O21(5172)	0.316
5390.00	umbrella26	O21	CL-O21(5172)	0.323
6730.00	umbrella26	O21	CL-O21(5172)	0.300
9710.00	umbrella26	O21	CL-O21(5586)	0.320
9730.00	umbrella26	O21	CL-O21(5586)	0.286
9740.00	umbrella26	O21	CL-O21(5586)	0.316
9750.00	umbrella26	O21	CL-O21(5586)	0.322
9770.00	umbrella26	O21	CL-O21(5586)	0.318
9830.00	umbrella26	O21	CL-O21(5586)	0.301
9850.00	umbrella26	O21	CL-O21(5586)	0.296
12480.00	umbrella26	O21	CL-O21(5034)	0.326
15150.00	umbrella26	O21	CL-O21(5034)	0.313
15830.00	umbrella26	O21	CL-O21(5034)	0.311
18480.00	umbrella26	O21	CL-O21(5034)	0.315
18650.00	umbrella26	O21	CL-O21(5034)	0.325
18980.00	umbrella26	O21	CL-O21(5034)	0.323
19070.00	umbrella26	O21	CL-O21(5034)	0.305
19100.00	umbrella26	O21	CL-O21(5034)	0.327
19600.00	umbrella26	O21	CL-O21(5034)	0.325
19760.00	umbrella26	O21	CL-O21(5034)	0.311
19820.00	umbrella26	O21	CL-O21(5034)	0.299
21580.00	umbrella26	O21	CL-O21(6414)	0.323
21590.00	umbrella26	O21	CL-O21(6414)	0.303
21600.00	umbrella26	O21	CL-O21(6414)	0.277
21670.00	umbrella26	O21	CL-O21(6414)	0.324
21900.00	umbrella26	O21	CL-O21(6414)	0.324
22030.00	umbrella26	O21	CL-O21(6414)	0.324
22150.00	umbrella26	O21	CL-O21(6414)	0.323
22260.00	umbrella26	O21	CL-O21(6414)	0.323
22270.00	umbrella26	O21	CL-O21(6414)	0.320
22590.00	umbrella26	O21	CL-O21(6414)	0.323
22820.00	umbrella26	O21	CL-O21(5034)	0.314
23040.00	umbrella26	O21	CL-O21(5034)	0.327
24130.00	umbrella26	O21	CL-O21(6414)	0.323
24140.00	umbrella26	O21	CL-O21(6414)	0.312
24180.00	umbrella26	O21	CL-O21(6414)	0.322
24230.00	umbrella26	O21	CL-O21(6414)	0.311
24280.00	umbrella26	O21	CL-O21(6414)	0.327
24400.00	umbrella26	O21	CL-O21(6414)	0.319
24420.00	umbrella26	O21	CL-O21(6414)	0.315
24430.00	umbrella26	O21	CL-O21(6414)	0.288
24450.00	umbrella26	O21	CL-O21(6414)	0.300
24480.00	umbrella26	O21	CL-O21(6414)	0.317
24490.00	umbrella26	O21	CL-O21(6414)	0.298
24510.00	umbrella26	O21	CL-O21(6414)	0.301
24560.00	umbrella26	O21	CL-O21(6414)	0.282
24610.00	umbrella26	O21	CL-O21(6414)	0.283
40.00	umbrella27	O21	CL-O21(8484)	0.312
60.00	umbrella27	O21	CL-O21(8484)	0.299
80.00	umbrella27	O21	CL-O21(8484)	0.301
840.00	umbrella27	O21	CL-O21(8484)	0.317
900.00	umbrella27	O21	CL-O21(8484)	0.275
1000.00	umbrella27	O21	CL-O21(8484)	0.304
1090.00	umbrella27	O21	CL-O21(8484)	0.323
1210.00	umbrella27	O21	CL-O21(8484)	0.314
1220.00	umbrella27	O21	CL-O21(8484)	0.312
1380.00	umbrella27	O21	CL-O21(8484)	0.326
2230.00	umbrella27	O21	CL-O21(8484)	0.326
3360.00	umbrella27	O21	CL-O21(8484)	0.326
5620.00	umbrella27	O21	CL-O21(8484)	0.327
5640.00	umbrella27	O21	CL-O21(8484)	0.308
5650.00	umbrella27	O21	CL-O21(8484)	0.325
10290.00	umbrella27	O21	CL-O21(8484)	0.307
10440.00	umbrella27	O21	CL-O21(8484)	0.326
10450.00	umbrella27	O21	CL-O21(8484)	0.309
10460.00	umbrella27	O21	CL-O21(8484)	0.319
10540.00	umbrella27	O21	CL-O21(8484)	0.315
12280.00	umbrella27	O21	CL-O21(8484)	0.327
12620.00	umbrella27	O21	CL-O21(8484)	0.321
12680.00	umbrella27	O21	CL-O21(8484)	0.327
12700.00	umbrella27	O21	CL-O21(8484)	0.325
12710.00	umbrella27	O21	CL-O21(8484)	0.316
12730.00	umbrella27	O21	CL-O21(8484)	0.275
12750.00	umbrella27	O21	CL-O21(8484)	0.309
12760.00	umbrella27	O21	CL-O21(8484)	0.309
12800.00	umbrella27	O21	CL-O21(8484)	0.309
12840.00	umbrella27	O21	CL-O21(8484)	0.319
12860.00	umbrella27	O21	CL-O21(8484)	0.298
12900.00	umbrella27	O21	CL-O21(8484)	0.306
13860.00	umbrella27	O21	CL-O21(8484)	0.315
13990.00	umbrella27	O21	CL-O21(8484)	0.325
14000.00	umbrella27	O21	CL-O21(8484)	0.317
